county,account_id,owner_name,mailing_address,parcel_address,city,zip,assessed_value,use_code,prop_type
Collin,R-6064-000-0110-1,ST PAUL CITY OF,"2505 BUTSCHERS BLOCK, ST PAUL, TX 75098-8046",PARKER RD,ST PAUL,75098,185783,F1,Commercial
Collin,R-6121-001-0390-1,USA,"UNKNOWN, 00000",,WYLIE,75098,259845,F1,Commercial
Collin,R-6178-000-0010-1,USA,"UNKNOWN, 00000",,,,448250,F1,Commercial
Collin,R-6180-000-0030-1,DALLAS CITY OF,"1500 MARILLA ST, DALLAS, TX 75201-6318",,WYLIE,75098,239952,F1,Commercial
Collin,R-6187-000-0020-1,DALLAS CITY OF,"1500 MARILLA ST, DALLAS, TX 75201-6318",,,,312000,F1,Commercial
Collin,R-6193-000-0030-1,ONCOR ELECTRIC DELIVERY COMPANY,"PO BOX 139100, DALLAS, TX 75313-9100",,WYLIE,75098,36900,J3,Commercial
Collin,R-6196-000-0030-1,ONCOR ELECTRIC DELIVERY COMPANY,"PO BOX 139100, DALLAS, TX 75313-9100",,WYLIE,,26740,J3,Commercial
Collin,R-6196-000-0040-1,DALLAS AREA RAPID TRANSIT,"MB 7230, DALLAS, TX 75266-0163",,,,30900,EXEMPT,Commercial
Collin,R-6239-001-0010-1,USA,"UNKNOWN, 00000",2202 ST PAUL RD,WYLIE,75098,4001326,EXEMPT,Commercial
Collin,R-6243-000-0080-1,HUDGINS JACK,"2611 GRANT DR, SACHSE, TX 75048-6415",4400 RANCH RD,SACHSE,75048,278358,C1,Commercial
Collin,R-6243-000-0100-1,BNV VENKATESWARA RAO ADDEPALLI &,"317 LYNDSIE DR, COPPELL, TX 75019-6641",RANCH RD,SACHSE,75048,240781,C1,Commercial
Collin,R-6243-000-0110-1,VAULT CAPITAL GROUP LLC,"3761 MENARD DR, CARROLLTON, TX 75010-6468",4310 RANCH RD,SACHSE,75048,236000,C1,Commercial
Collin,R-6243-000-0200-1,HUDGINS JACK & STEPHANIE,"2611 GRANT DR, SACHSE, TX 75048-6415",,,,311672,F1,Commercial
Collin,R-6243-000-0270-1,KANSAS CITY RAILWAY COMPANY,"PO BOX 219335, KANSAS CITY, MO 64121-9335",,,,0,J5,Commercial
Collin,R-6266-000-0070-1,WYLIE CHRISTIAN CARE CENTER,"PO BOX 1476, WYLIE, TX 75098-3042",1310 W BROWN ST,WYLIE,75098,518371,EXEMPT,Commercial
Collin,R-6266-000-0060-1,ONCOR ELECTRIC DELIVERY COMPANY,"PO BOX 139100, DALLAS, TX 75313-9100",,WYLIE,75098,79125,J3,Commercial
Collin,R-6266-000-0150-1,CON-DOR PIPELINE INC CO,"PO BOX 5600, BARTLESVILLE, OK 74005-5600",PIPELINE CORRIDORE,WYLIE,75098,35000,J6,Commercial
Collin,R-6266-000-0180-1,SALIH KARWAN ANWAR,"603 LOXLEY DR, WYLIE, TX 75098-6997",1250 W BROWN ST,WYLIE,75098,217800,C1,Commercial
Collin,R-6266-000-0260-1,HOLLINGSHEAD MATERIALS LLC,"1000 HOLLINGSHEAD CIR, MURFREESBORO, TN 37129-4036",1502 W FM 544,WYLIE,75098,1956180,CRGP,Commercial
Collin,R-6267-000-0110-1,WYLIE CITY OF,"2000 N HIGHWAY 78, WYLIE, TX 75098-6043",901 W ALANIS DR,WYLIE,75098,1738343,EXEMPT,Commercial
Collin,R-6267-000-0140-1,TREVINO VICTOR,"1538 TANGLEWOOD LN, GARLAND, TX 75042-8144",1404 MARTINEZ LN,WYLIE,75098,244712,ARS,Commercial
Collin,R-6267-000-0200-1,ISLAND OF MISFIT TOYS TRUST,"402 N GASTON DR, WYLIE, TX 75098-4531",1506 MARTINEZ LN,WYLIE,75098,195223,ARS,Commercial
Collin,R-6267-000-0020-1,WYLIE 33-78 LLC,"PO BOX 2590, WYLIE, TX 75098-3060",1001 S STATE HWY 78,WYLIE,75098,2447328,MHP,Commercial
Collin,R-6267-000-0290-1,WYLIE CITY OF,"2000 HWY 67 N, WYLIE, TX 75098",S BIRMINGHAM ST,WYLIE,75098,114227,EXEMPT,Commercial
Collin,R-6267-000-0300-1,WYLIE CITY OF,"300 COUNTRY CLUB DR BLDG 100, WYLIE, TX 75098-3000",1202 S BIRMINGHAM ST,WYLIE,75098,15500,F1,Commercial
Collin,R-6303-000-0030-1,USA,"UNKNOWN, 00000",,WYLIE,75098,1270700,F1,Commercial
Collin,R-6334-000-0060-1,USA,"UNKNOWN, 00000",,WYLIE,75098,4860,F1,Commercial
Collin,R-6334-000-0120-1,SJS BUILDING MANAGEMENT LLC,"PO BOX 865146, PLANO, TX 75086-5146",2215 SOUTHVIEW DR,WYLIE,75098,465716,SSF,Commercial
Collin,R-6351-000-0120-1,SCOTT RESIDENTIAL LLC,"4152 GREENFIELD DR, RICHARDSON, TX 75082-3731",645 FM 1378,WYLIE,75098,659099,C1,Commercial
Collin,R-6351-000-0170-1,DALLAS AREA RAPID TRANSIT,"MB 7230, DALLAS, TX 75266-0163",,WYLIE,,34600,EXEMPT,Commercial
Collin,R-6370-000-0140-1,DALLAS CITY OF,"1500 MARILLA ST, DALLAS, TX 75201-6318",,,,9070,F1,Commercial
Collin,R-6402-000-0020-1,MURPHY CITY OF,"206 N MURPHY RD, MURPHY, TX 75094-3512",,MURPHY,75094,267023,EXEMPT,Commercial
Collin,R-6433-001-0040-1,USA,"UNKNOWN, 00000",3003 SKYVIEW DR,WYLIE,75098,1650000,F1,Commercial
Collin,R-6438-000-0050-1,KANSAS CITY RAILWAY COMPANY,"PO BOX 219335, KANSAS CITY, MO 64121-9335",,,,0,J5,Commercial
Collin,R-6475-000-0010-1,DALLAS CITY OF,"1500 MARILLA ST, DALLAS, TX 75201-6318",,WYLIE,75098,1047600,F1,Commercial
Collin,R-6475-000-0100-1,COLLIN COUNTY,"UNKNOWN, 00000",,WYLIE,75098,76000,F1,Commercial
Collin,R-6475-000-0280-1,CHANEY BRIAN,"PO BOX 700, WYLIE, TX 75098-3030",1850 E STONE RD,WYLIE,75098,52920,PE-STIB,Commercial
Collin,R-6561-000-0050-1,SACPW-RC,"404 N BALLARD AVE, WYLIE, TX 75098-4400",2574 SAINT PAUL RD,WYLIE,75098,80000,F1,Commercial
Collin,R-6561-000-0070-1,HEATH ROBERT WINDELL &,"201 N BALLARD AVE STE 107, WYLIE, TX 75098-4449",2889 AZTEC TRL,WYLIE,75098,171346,WH-STIB,Commercial
Collin,R-6561-000-0120-1,RICH WAYNE & LINDA COLLEEN,"102 HENSLEY LN, WYLIE, TX 75098-4900",3216 PARKER RD,WYLIE,75098,99207,OR,Commercial
Collin,R-6561-000-0010-1,MAYFIELD GARY,"2775 PECAN DR, WYLIE, TX 75098-8838",2775 PECAN DR,WYLIE,75098,778498,SSF,Commercial
Collin,R-6561-000-0240-1,DOUBLE UP INVESTMENTS LLC,"116 N BIRMINGHAM ST, WYLIE, TX 75098-4435",3770 OLD PARKER RD,WYLIE,75098,736664,SSF,Commercial
Collin,R-6561-000-0020-1,SJS BUILDING MANAGEMENT LLC,"PO BOX 865146, PLANO, TX 75086-5146",SOUTHVIEW DR,WYLIE,75098,132314,C1,Commercial
Collin,R-6563-000-0010-1,ONCOR ELECTRIC DELIVERY COMPANY,"PO BOX 139100, DALLAS, TX 75313-9100",,,,31448,J3,Commercial
Collin,R-6563-000-0040-1,DALLAS AREA RAPID TRANSIT,"MB 7230, DALLAS, TX 75266-0163",,,,119137,EXEMPT,Commercial
Collin,R-6579-000-0840-1,ONCOR ELECTRIC DELIVERY COMPANY,"PO BOX 139100, DALLAS, TX 75313-9100",,MURPHY,75094,12805,J3,Commercial
Collin,R-6579-000-0900-1,NORTH TEXAS MUNICIPAL WATER DISTRICT,"PO BOX 2408, WYLIE, TX 75098-2408",S MAXWELL CREEK RD,MURPHY,75094,1326,F1,Commercial
Collin,R-6579-000-0860-1,SACHSE CITY OF,"3033 6TH ST, GARLAND, TX 75048-3117",,SACHSE,75048,3900,F1,Commercial
Collin,R-6582-000-0580-1,DALLAS AREA RAPID TRANSIT,"MB 7230, DALLAS, TX 75266-0163",,MURPHY,75094,87360,EXEMPT,Commercial
Collin,R-6589-000-0090-1,YES SOUTHFORK COLLIN LLC,"5050 S SYRACUSE ST STE 1200, DENVER, CO 80237-3388",216 SOUTHFORK BLVD,WYLIE,75098,20175000,MHP,Commercial
Collin,R-6629-000-0030-1,CHANDRARUP LLC,"16655 S AVENUE A 1/2, SOMERTON, AZ 85350-7629",2220 FM 1378,ST PAUL,75098,757315,C1,Commercial
Collin,R-6660-000-0030-1,WYLIE CITY OF,"FINANCE ACCOUNTS PAYABLE, WYLIE, TX 75098-3000",,WYLIE,75098,1988000,F1,Commercial
Collin,R-6660-000-0270-1,ESPINOZA JESUS & MARCELLA,"6425 OCEANVIEW DR, PLANO, TX 75074-0160",7610 STATE HWY 78,SACHSE,75048,1428072,RE,Commercial
Collin,R-6660-000-0350-1,KANSAS CITY RAILWAY COMPANY,"PO BOX 219335, KANSAS CITY, MO 64121-9335",,WYLIE,75098,0,J5,Commercial
Collin,R-6660-000-0360-1,SERENE DISTRICT TOWNHOMES LLC,"709 BUSINESS WAY, WYLIE, TX 75098-3961",2701 S STATE HWY 78,WYLIE,75098,1224635,C1,Commercial
Collin,R-6676-000-0030-1,DALLAS CITY OF,"1500 MARILLA ST, DALLAS, TX 75201-6318",,,,391536,F1,Commercial
Collin,R-6688-001-0040-1,USA,"UNKNOWN, 00000",1321 SKYVIEW DR,WYLIE,75098,1406600,F1,Commercial
Collin,R-6688-001-0110-1,NORTH TEXAS MUNICIPAL WATER DISTRICT,"PO BOX 2408, WYLIE, TX 75098-2408",PAUL WILSON RD,WYLIE,75098,1387401,F1,Commercial
Collin,R-6688-001-0150-1,ONCOR ELECTRIC DELIVERY COMPANY,"PO BOX 139100, DALLAS, TX 75313-9100",,WYLIE,75098,111000,J3,Commercial
Collin,R-6688-003-0300-1,KANSAS CITY RAILWAY COMPANY,"PO BOX 219335, KANSAS CITY, MO 64121-9335",STATE HWY 78,WYLIE,75098,0,J5,Commercial
Collin,R-6688-003-0360-1,KANSAS CITY SOUTHERN RAILWAY CO,"PO BOX 219335, KANSAS CITY, MO 64121-9335",,WYLIE,75098,0,J5,Commercial
Collin,R-6688-003-0370-1,KANSAS CITY SOUTHERN RAILWAY CO,"PO BOX 219335, KANSAS CITY, MO 64121-9335",,WYLIE,75098,0,J5,Commercial
Collin,R-6688-003-0400-1,WYLIE BUSINESS PARK LLC,"14333 FM 121 STE 1, VAN ALSTYNE, TX 75495-3363",3332 N STATE HWY 78,WYLIE,75098,2678259,WHO-MTIB,Commercial
Collin,R-6688-003-0450-1,WALLACE KEVIN R & ALESA,"18693 HILLTOP LN, NEVADA, TX 75173-8165",3370 N STATE HWY 78,WYLIE,75098,838568,ARS,Commercial
Collin,R-6688-002-0500-1,KANSAS CITY SOUTHERN RAILWAY COMPANY THE,"PO BOX 219335, KANSAS CITY, MO 64121-9335",SPRING CREEK PKWY,WYLIE,75098,0,J5,Commercial
Collin,R-6688-002-0510-1,KANSAS CITY RAILWAY COMPANY,"PO BOX 219335, KANSAS CITY, MO 64121-9335",,WYLIE,75098,0,J5,Commercial
Collin,R-6688-002-0710-1,GT CONSTRUCTION INC,"712 LYNDA LN, WYLIE, TX 75098-4602",712 LYNDA LN,WYLIE,75098,214895,WH-STIB,Commercial
Collin,R-6688-001-0740-1,NORTH TEXAS MUNICIPAL WATER DISTRICT,"PO BOX 2408, WYLIE, TX 75098-2408",LYNDA LN,WYLIE,75098,5468446,EXEMPT,Commercial
Collin,R-6688-001-0750-1,NORTH TEXAS MUNICIPAL WATER DISTRICT,"PO BOX 2408, WYLIE, TX 75098-2408",LYNDA LN,WYLIE,75098,4902073,EXEMPT,Commercial
Collin,R-6688-001-0760-1,NORTH TEXAS MUNICIPAL WATER DISTRICT,"PO BOX 2408, WYLIE, TX 75098-2408",505 E BROWN ST,WYLIE,75098,15460171,EXEMPT,Commercial
Collin,R-6688-001-0780-1,BUNTING CHARLES A & MARGARET P,"1271 RED BALL TRL, GREENVILLE, IL 62246-2774",635 EUBANKS LN,WYLIE,75098,541386,WHO-STIB,Commercial
Collin,R-6688-001-0800-1,BUNTING MIKE,"635 EUBANKS LN, WYLIE, TX 75098-5205",N STATE HWY 78,WYLIE,75098,36224,C1,Commercial
Collin,R-6688-001-0810-1,ONCOR ELECTRIC DELIVERY COMPANY LLC,"PO BOX 139100, DALLAS, TX 75313-9100",,WYLIE,75098,28532,J3,Commercial
Collin,R-6688-002-0840-1,KANSAS CITY SOUTHERN RAILWAY CO,"PO BOX 219335, KANSAS CITY, MO 64121-9335",,WYLIE,75098,0,J5,Commercial
Collin,R-6688-001-0880-1,NORTH TEXAS MUNICIPAL WATER DISTRICT,"PO BOX 2408, WYLIE, TX 75098-2408",402 PAUL WILSON RD,WYLIE,75098,1007425,F1,Commercial
